libId,CATEGORY,TOTAL_READS,PF_READS,PCT_PF_READS,PF_NOISE_READS,PF_READS_ALIGNED,PCT_PF_READS_ALIGNED,PF_ALIGNED_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_HQ_MEDIAN_MISMATCHES,PF_MISMATCH_RATE,PF_HQ_ERROR_RATE,PF_INDEL_RATE,MEAN_READ_LENGTH,READS_ALIGNED_IN_PAIRS,PCT_READS_ALIGNED_IN_PAIRS,BAD_CYCLES,STRAND_BALANCE,PCT_CHIMERAS,PCT_ADAPTER,SAMPLE,LIBRARY,READ_GROUP,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,SAMPLE,LIBRARY,READ_GROUP,fastq_total_reads,reads_aligned_sam,aligned,reads_with_mult_align,algn_seg_with_mult_algn,no_feature,ambiguous,too_low_aQual,not_aligned,alignment_not_unique,LIBRARY,UNPAIRED_READS_EXAMINED,READ_PAIRS_EXAMINED,UNMAPPED_READS,UNPAIRED_READ_DUPLICATES,READ_PAIR_DUPLICATES,READ_PAIR_OPTICAL_DUPLICATES,PERCENT_DUPLICATION,ESTIMATED_LIBRARY_SIZE,mapped_reads_w_dups
lib7418_HMMF2ADXX,UNPAIRED,6479569,6479569,1,0,6479569,1,343293158,6036439,319469031,316961951,0,0.353533,0.355758,0.000033,56.174376,0,0,0,0.499963,0,0,,,,363985744,363981003,172351,57611993,106137665,169147235,30911768,0,1289337,1296694,0.000474,0.158283,0.291602,0.464714,0.084927,0.449885,0.449879,0.498578,0.552887,0.23027,0.966096,0.244181,,,,13038866,7183631,55.1%,663914,9.2%,3302522,85015,0,0,2645839,Unknown Library,12300452,0,0,5820883,0,0,0.473225,,0.943368
lib7419_HMMF2ADXX,UNPAIRED,12487334,12487334,1,0,12487334,1,661770194,11654634,617093081,611898967,0,0.352576,0.354246,0.000027,56.137019,0,0,0,0.499981,0,0,,,,701001700,700994444,212960,159094325,186097409,305687962,49901805,0,2716353,2741265,0.000304,0.226955,0.265476,0.436078,0.071187,0.492431,0.492426,0.497718,0.379326,0.469126,0.824675,0.563633,,,,28896772,14768502,51.1%,1746055,11.8%,5872394,184133,0,0,7299519,Unknown Library,27176081,0,0,14688747,0,0,0.540503,,0.940454
lib7420_HMMF2ADXX,UNPAIRED,11739037,11739037,1,0,11739037,1,622475047,10881187,576456442,571703780,0,0.352185,0.353671,0.000026,56.131911,0,0,0,0.499779,0,0,,,,658934585,658928380,217216,177799623,186091072,248299377,46521113,0,2855918,2885932,0.00033,0.269831,0.282415,0.376823,0.070601,0.552246,0.552241,0.497386,0.371873,0.494832,0.805395,0.615359,,,,28122299,14551740,51.7%,1998207,13.7%,4807452,196121,0,0,8502767,Unknown Library,26335923,0,0,14596886,0,0,0.554258,,0.936478
lib7421_HMMF2ADXX,UNPAIRED,9842568,9842568,1,0,9842568,1,522031419,9090371,481696752,477536250,0,0.350667,0.351865,0.000023,56.12441,0,0,0,0.499853,0,0,,,,552408321,552403545,210277,155369193,164223045,193425359,39175682,0,2502626,2531372,0.000381,0.28126,0.297288,0.350152,0.070919,0.578548,0.578543,0.497145,0.37436,0.488222,0.800996,0.612423,,,,21161781,11924738,56.4%,1651985,13.9%,3771130,176095,0,0,6832544,Unknown Library,19763822,0,0,9921254,0,0,0.501991,,0.933939
lib7422_HMMF2ADXX,UNPAIRED,9903227,9903227,1,0,9903227,1,523953535,9124479,482326109,478190251,0,0.353471,0.355587,0.000032,56.067587,0,0,0,0.499962,0,0,,,,555250038,555243753,237088,123963672,158954954,230954898,41133156,0,2205098,2226566,0.000427,0.22326,0.28628,0.415952,0.074081,0.50954,0.509534,0.497578,0.437251,0.438023,0.852024,0.502222,,,,24922238,12792145,51.3%,2126504,16.6%,4459230,164312,0,0,9013218,Unknown Library,22782419,0,0,12879192,0,0,0.565313,,0.914140
lib7423_HMMF2ADXX,UNPAIRED,10770476,10770476,1,0,10770476,1,571320884,9868304,522952270,518248761,0,0.348722,0.3503,0.000027,56.09825,0,0,0,0.499834,0,0,,,,604204856,604199558,212726,179661202,194995381,185662326,43667931,0,2944763,2942731,0.000352,0.297354,0.322733,0.307286,0.072274,0.620087,0.620082,0.500173,0.371417,0.478247,0.792506,0.611176,,,,27875914,14187163,50.9%,2327924,16.4%,3656322,206825,0,0,9963753,Unknown Library,26303984,0,0,15533508,0,0,0.590538,,0.943610
lib7424_HMMF2ADXX,UNPAIRED,10464451,10464451,1,0,10464451,1,554795851,9533993,504908499,500570379,0,0.348369,0.349931,0.00003,56.10969,0,0,0,0.499997,0,0,,,,587157098,587151137,206309,173964575,204190845,164125273,44664140,0,2978363,2953062,0.000351,0.296286,0.347765,0.279528,0.076069,0.644051,0.644045,0.502133,0.372341,0.476953,0.797581,0.603967,,,,29741382,14309589,48.1%,2479505,17.3%,3281790,209282,0,0,10767773,Unknown Library,28158065,0,0,17693614,0,0,0.628368,,0.946764
lib7425_HMMF2ADXX,UNPAIRED,10174658,10174658,1,0,10174658,1,538764276,9412833,497967933,492802902,0,0.349816,0.351462,0.000022,56.079704,0,0,0,0.499971,0,0,,,,570591814,570587440,217058,173680153,159219246,197710764,39760225,0,2614725,2642813,0.00038,0.304388,0.279044,0.346504,0.069683,0.583433,0.583428,0.497329,0.366531,0.516925,0.763536,0.666435,,,,21403916,12205481,57.0%,1645536,13.5%,3860324,178676,0,0,6914271,Unknown Library,19950862,0,0,9776204,0,0,0.490014,,0.932113
lib7426_HMMF2ADXX,UNPAIRED,10761827,10761827,1,0,10761827,1,570450115,10025064,531011942,526315965,0,0.354948,0.356642,0.000026,56.122481,0,0,0,0.499829,0,0,,,,603980432,603974715,211719,145420389,165412030,249296340,43634250,0,2440341,2453820,0.000351,0.240772,0.273872,0.41276,0.072245,0.514645,0.51464,0.498623,0.384432,0.464347,0.813631,0.57251,,,,22400562,12616956,56.3%,1539056,12.2%,4823770,174205,0,0,6346067,Unknown Library,20856204,0,0,10094377,0,0,0.483999,,0.931057
lib7427_HMMF2ADXX,UNPAIRED,10816130,10816130,1,0,10816130,1,573187894,10133009,536604871,531844883,0,0.355937,0.357192,0.000029,56.112049,0,0,0,0.499956,0,0,,,,606915217,606908364,182178,131603956,162209193,269430631,43482413,0,2297745,2336215,0.0003,0.216843,0.267271,0.44394,0.071646,0.484115,0.484109,0.495849,0.400256,0.448516,0.783134,0.561125,,,,23221394,12234524,52.7%,1250620,10.2%,5190828,166542,0,0,5093877,Unknown Library,21769894,0,0,10953764,0,0,0.503161,,0.937493
lib7428_HMMF2ADXX,UNPAIRED,10030446,10030446,1,0,10030446,1,532182429,9269898,491404223,487066375,0,0.35396,0.355508,0.000024,56.119048,0,0,0,0.499862,0,0,,,,562899081,562894483,211554,158288975,168501417,196979765,38912782,0,2568666,2577857,0.000376,0.281205,0.299348,0.349941,0.06913,0.580554,0.580549,0.499107,0.375324,0.50112,0.776771,0.628741,,,,21635721,12130769,56.1%,1670522,13.8%,3823927,183453,0,0,6918238,Unknown Library,20229901,0,0,10199455,0,0,0.504177,,0.935023
lib7429_HMMF2ADXX,UNPAIRED,10487151,10487151,1,0,10487151,1,556083704,9686662,513199125,508381121,0,0.352263,0.353664,0.000024,56.098971,0,0,0,0.499968,0,0,,,,588318379,588313419,218950,167961866,177443930,200937928,41750751,0,2716657,2718650,0.000372,0.285497,0.301615,0.341549,0.070967,0.587112,0.587107,0.499817,0.362947,0.505149,0.775878,0.635074,,,,23159823,12851697,55.5%,1841820,14.3%,3927553,194510,0,0,7635375,Unknown Library,21660841,0,0,11173690,0,0,0.515847,,0.935277
lib7430_HMMF2ADXX,UNPAIRED,10439042,10439042,1,0,10439042,1,553129778,9628568,509692888,505188874,0,0.351736,0.353085,0.000025,56.109439,0,0,0,0.499799,0,0,,,,585728792,585723684,216747,169274527,174622760,200491613,41118052,0,2696867,2715579,0.00037,0.289001,0.298132,0.342297,0.0702,0.587132,0.587127,0.498271,0.359318,0.518565,0.769851,0.652021,,,,23467304,12931217,55.1%,1938427,15.0%,3910588,190714,0,0,8004328,Unknown Library,21881996,0,0,11442954,0,0,0.522939,,0.932446
lib7431_HMMF2ADXX,UNPAIRED,9650840,9650840,1,0,9650840,1,511947443,8838529,468391943,464334742,0,0.349758,0.351219,0.000029,56.109009,0,0,0,0.500083,0,0,,,,541499065,541494045,215667,161803876,179990470,160012874,39471167,0,2682803,2679369,0.000398,0.29881,0.332396,0.295503,0.072893,0.631206,0.6312,0.50032,0.374619,0.498793,0.763919,0.643053,,,,23925976,12338164,51.6%,2004954,16.3%,3173488,193379,0,0,8341116,Unknown Library,22518647,0,0,12867807,0,0,0.571429,,0.941180
lib7432_HMMF2ADXX,UNPAIRED,10468263,10468263,1,0,10468263,1,555084218,9562440,506528480,502343979,0,0.350418,0.351766,0.000031,56.116716,0,0,0,0.500065,0,0,,,,587444541,587438715,203281,179720956,202494779,161327117,43692591,0,3001781,2989035,0.000346,0.30594,0.344708,0.274628,0.074378,0.650648,0.650641,0.501064,0.369741,0.495873,0.771215,0.659079,,,,28786765,14000360,48.6%,2464198,17.6%,3231437,217996,0,0,10423968,Unknown Library,27176290,0,0,16708027,0,0,0.614802,,0.944055
lib7433_HMMF2ADXX,UNPAIRED,12160544,12160544,1,0,12160544,1,644448122,11324558,599672648,594067250,0,0.351829,0.35327,0.000022,56.095797,0,0,0,0.500128,0,0,,,,682155408,682150190,219457,199385967,178057269,256583526,47903983,0,2963441,3004142,0.000322,0.29229,0.261024,0.376139,0.070225,0.553314,0.55331,0.49659,0.3532,0.531212,0.744181,0.716449,,,,26619939,14608422,54.9%,1912443,13.1%,4993809,202934,0,0,7961412,Unknown Library,24975358,0,0,12814814,0,0,0.513098,,0.938220
